"E_km","N_km","group"
813.91250528,6967.54277502,1
813.82533632,6967.71272937,1
813.819728298925,6967.72270543802,1
813.73998627,6967.92506421,1
813.733308946451,6967.9224329264,1
813.56894413,6968.29649457,1
813.550480592492,6968.32872703238,1
813.43464883,6968.65524048,1
813.209327690439,6969.0002429558,1
813.16911928192,6969.06800853892,1
813.097198606862,6969.22191642902,1
813.168288336104,6969.39377927493,1
813.37495247,6969.74468853,1
813.54725563,6970.46631312,1
813.50018996,6971.20672872,1
813.46775479,6971.35712377,1
813.45421878,6971.50413458,1
813.49549047,6971.77836656,1
813.52156349,6972.05643529,1
813.52614794,6972.17828991,1
813.45038265,6972.89005922,1
813.17603088,6973.5511848,1
813.109457088233,6973.66300555384,1
813.06034037,6974.04072446,1
812.89110226,6974.67459818,1
812.56278208,6975.24261515,1
812.418258283558,6975.4304985475,1
812.3627952582,6975.5532237865,1
812.32998047,6975.63145656,1
812.32986472,6975.63170591,1
812.23131307,6975.82216344,1
812.16540055,6975.93717278,1
812.07191516,6976.10092354,1
812.024356295198,6976.19369660315,1
811.98292769,6976.29713006,1
811.952244360392,6976.3857676068,1
811.937349271332,6976.51682130259,1
811.93987714,6976.52900683,1
811.98593256,6977.21080705,1
811.84565185,6977.87960744,1
811.8263512,6977.93350823,1
811.81972801,6977.95890717,1
811.78752981,6978.13107506,1
811.76173902,6978.35499112,1
811.74860935,6978.47246815,1
811.75948554071,6978.88252787487,1
811.767142466628,6978.95526315315,1
811.76853565,6978.95513756,1
811.775517635533,6979.03258756853,1
811.81957149,6979.18274831,1
811.83053683081,6979.19921578241,1
812.25713567,6979.65543777,1
812.57189432,6980.26526377,1
812.70897705,6980.93769895,1
812.65805416,6981.62207283,1
812.61703294,6981.81269966,1
812.61264478,6981.85077696,1
812.59439609,6982.00855009,1
812.579780387744,6982.13489833168,1
812.597397623895,6982.49091556022,1
812.638730983963,6982.65714187715,1
812.7556143,6982.9393609,1
812.83857712,6983.23370506,1
812.835013735541,6983.23470942316,1
812.884309109674,6983.42619557471,1
813.220367326881,6984.14608004461,1
813.39807162,6984.44920464,1
813.550497496404,6985.08427699941,1
813.55816243,6985.08315122,1
813.60000147,6985.36801473,1
813.595495871345,6985.36867648527,1
813.63921923,6985.82808658,1
813.63642892,6986.03214815,1
813.63816333,6986.05176029,1
813.64051699,6986.08022735,1
813.64549343,6986.14491424,1
813.66942778,6986.31027768,1
813.6729842,6986.32690627,1
813.694367904642,6986.45097342982,1
813.69509806,6986.45084594,1
813.71136618,6986.54401617,1
813.712647416723,6987.07466234699,1
813.72692688,6987.07441838,1
813.735178798556,6987.55740568247,1
813.80069763,6987.98789877,1
813.802864985951,6988.23507577399,1
813.84354642,6988.39906679,1
813.8984386,6988.69616613,1
813.957447073184,6989.1764949925,1
813.95797823,6989.17638297,1
813.98930497,6989.3249193,1
813.988020574361,6989.42416091452,1
814.00472222,6989.48506351,1
814.00891621,6989.57246302,1
813.986087054634,6989.57355850958,1
813.979498128445,6990.08266618112,1
813.99718574,6990.0825719,1
